Series_Reference,Period,Data_Value,Status Code,Type,Group,Description
CPIQ.SAP0200,2026.06,25.47,FINAL,Weighted average price,NA,Beer – bottles (supermarket & liquor store)
CPIQ.SAP0210,2026.06,8.77,FINAL,Weighted average price,NA,Beer – glass (licensed premises)
CPIQ.SAP0220,2026.06,30.34,FINAL,Weighted average price,NA,"Wine – cask, white (supermarket & liquor store)"
CPIQ.SAP0230,2026.06,60.29,FINAL,Weighted average price,NA,Whisky (liquor store)
CPIQ.SAP0240,2026.06,61.28,FINAL,Weighted average price,NA,Cigarettes (supermarket & convenience store)
CPIQ.SAP0300,2026.06,12.58,FINAL,Weighted average price,NA,Socks – men's (clothing store & department store)
CPIQ.SAP0320,2026.06,44.42,FINAL,Weighted average price,NA,"Dry cleaning – men's two-piece, woollen suit"
CPIQ.SAP0400,2026.06,77.81,FINAL,Weighted average price,NA,Spouting/guttering – plastic
CPIQ.SAP0410,2026.06,615.19,FINAL,Weighted average price,NA,Concrete blocks – 390mm x 190mm x 190mm
CPIQ.SAP0420,2026.06,213.13,FINAL,Weighted average price,NA,"House paint – acrylic, white"
CPIQ.SAP0500,2026.06,242.8,FINAL,Weighted average price,NA,"Carpet – wool, heavy duty, cut pile, width 3.66m"
CPIQ.SAP0510,2026.06,0.94,FINAL,Weighted average price,NA,"Electric light bulb - standard, 100 watt (supermarket)"
CPIQ.SAP0531,2026.06,3.72,FINAL,Weighted average price,NA,Clothes washing powder – concentrate (supermarket)
CPIQ.SAP0541,2026.06,4.35,FINAL,Weighted average price,NA,Detergent – dishwashing liquid (supermarket)(3)
CPIQ.SAP0550,2026.06,4.82,FINAL,Weighted average price,NA,Cling food wrap – refill roll (supermarket)
CPIQ.SAP0600,2026.06,58.43,FINAL,Weighted average price,NA,"General Practitioner – consultation, adult without"
CPIQ.SAP0610,2026.06,111.32,FINAL,Weighted average price,NA,Optometrist – examination
CPIQ.SAP0620,2026.06,195.17,FINAL,Weighted average price,NA,"Dental examination – 2 X-rays, scale and polish"
CPIQ.SAP0700,2026.06,198.06,FINAL,Weighted average price,NA,Car battery – 12 volts
CPIQ.SAP0710,2026.06,32.42,FINAL,Weighted average price,NA,Petrol – 91 octane
CPIQ.SAP0720,2026.06,34.62,FINAL,Weighted average price,NA,Petrol – 95/98 octane
CPIQ.SAP0730,2026.06,32.25,FINAL,Weighted average price,NA,Diesel
CPIQ.SAP0740,2026.06,79.49,FINAL,Weighted average price,NA,Warrant of fitness – private car
CPIQ.SAP0910,2026.06,4.22,FINAL,Weighted average price,NA,Pet food – canned (supermarket)
CPIQ.SAP1100,2026.06,95.73,FINAL,Weighted average price,NA,"Hairdressing – women's shampoo, cut, and blow wave"
CPIQ.SAP1110,2026.06,5.4,FINAL,Weighted average price,NA,"Bathroom soap – cake, 100g (supermarket)"
CPIQ.SAP1120,2026.06,6.35,FINAL,Weighted average price,NA,Shampoo (supermarket)
CPIQ.SAP1130,2026.06,3.38,FINAL,Weighted average price,NA,Tissues – facial (supermarket)
CPIQ.SAP1141,2026.06,7.03,FINAL,Weighted average price,NA,Toilet paper (supermarket)
CPIQ.SAP1142,2026.06,72.33,FINAL,Weighted average price,NA,Storage costs (excluding vehicle storage)
CPIQ.SE101,2026.06,1375,FINAL,Regional index,Auckland,Food
CPIQ.SE102,2026.06,1447,FINAL,Regional index,Auckland,Alcoholic beverages and tobacco
CPIQ.SE103,2026.06,1061,FINAL,Regional index,Auckland,Clothing and footwear
CPIQ.SE104,2026.06,1408,FINAL,Regional index,Auckland,Housing and household utilities
CPIQ.SE104101,2026.06,1205,FINAL,Regional index,Auckland,Actual rentals for housing
CPIQ.SE104201,2026.06,1641,FINAL,Regional index,Auckland,Purchase of housing
CPIQ.SE105,2026.06,1169,FINAL,Regional index,Auckland,Household contents and services
CPIQ.SE106,2026.06,1256,FINAL,Regional index,Auckland,Health
CPIQ.SE107,2026.06,1375,FINAL,Regional index,Auckland,Transport
CPIQ.SE107202,2026.06,1758,FINAL,Regional index,Auckland,Petrol
CPIQ.SE109,2026.06,1287,FINAL,Regional index,Auckland,Recreation and culture
CPIQ.SE111,2026.06,1341,FINAL,Regional index,Auckland,Miscellaneous goods and services
CPIQ.SE1A,2026.06,1334,FINAL,Regional index,Auckland,All Groups
CPIQ.SE201,2026.06,1367,FINAL,Regional index,Wellington,Food
CPIQ.SE202,2026.06,1435,FINAL,Regional index,Wellington,Alcoholic beverages and tobacco
CPIQ.SE203,2026.06,1131,FINAL,Regional index,Wellington,Clothing and footwear
CPIQ.SE204,2026.06,1435,FINAL,Regional index,Wellington,Housing and household utilities
CPIQ.SE204101,2026.06,1308,FINAL,Regional index,Wellington,Actual rentals for housing
CPIQ.SE204201,2026.06,1454,FINAL,Regional index,Wellington,Purchase of housing
CPIQ.SE205,2026.06,1132,FINAL,Regional index,Wellington,Household contents and services
CPIQ.SE206,2026.06,1279,FINAL,Regional index,Wellington,Health
CPIQ.SE207,2026.06,1371,FINAL,Regional index,Wellington,Transport
CPIQ.SE207202,2026.06,1649,FINAL,Regional index,Wellington,Petrol
CPIQ.SE209,2026.06,1240,FINAL,Regional index,Wellington,Recreation and culture
CPIQ.SE211,2026.06,1372,FINAL,Regional index,Wellington,Miscellaneous goods and services
CPIQ.SE2A,2026.06,1335,FINAL,Regional index,Wellington,All Groups
CPIQ.SE301,2026.06,1385,FINAL,Regional index,Rest of North Island,Food
CPIQ.SE302,2026.06,1512,FINAL,Regional index,Rest of North Island,Alcoholic beverages and tobacco
CPIQ.SE303,2026.06,1130,FINAL,Regional index,Rest of North Island,Clothing and footwear
CPIQ.SE304,2026.06,1606,FINAL,Regional index,Rest of North Island,Housing and household utilities
CPIQ.SE304101,2026.06,1510,FINAL,Regional index,Rest of North Island,Actual rentals for housing
CPIQ.SE304201,2026.06,1766,FINAL,Regional index,Rest of North Island,Purchase of housing
CPIQ.SE305,2026.06,1170,FINAL,Regional index,Rest of North Island,Household contents and services
CPIQ.SE306,2026.06,1340,FINAL,Regional index,Rest of North Island,Health
CPIQ.SE307,2026.06,1429,FINAL,Regional index,Rest of North Island,Transport
CPIQ.SE307202,2026.06,1788,FINAL,Regional index,Rest of North Island,Petrol
CPIQ.SE309,2026.06,1291,FINAL,Regional index,Rest of North Island,Recreation and culture
CPIQ.SE311,2026.06,1345,FINAL,Regional index,Rest of North Island,Miscellaneous goods and services
CPIQ.SE3A,2026.06,1401,FINAL,Regional index,Rest of North Island,All Groups
CPIQ.SE401,2026.06,1378,FINAL,Regional index,North Island,Food
CPIQ.SE402,2026.06,1473,FINAL,Regional index,North Island,Alcoholic beverages and tobacco
CPIQ.SE403,2026.06,1101,FINAL,Regional index,North Island,Clothing and footwear
CPIQ.SE404,2026.06,1479,FINAL,Regional index,North Island,Housing and household utilities
CPIQ.SE404101,2026.06,1307,FINAL,Regional index,North Island,Actual rentals for housing
CPIQ.SE404201,2026.06,1659,FINAL,Regional index,North Island,Purchase of housing
CPIQ.SE405,2026.06,1163,FINAL,Regional index,North Island,Household contents and services
CPIQ.SE406,2026.06,1296,FINAL,Regional index,North Island,Health
CPIQ.SE407,2026.06,1398,FINAL,Regional index,North Island,Transport
CPIQ.SE407202,2026.06,1758,FINAL,Regional index,North Island,Petrol
CPIQ.SE409,2026.06,1281,FINAL,Regional index,North Island,Recreation and culture
CPIQ.SE411,2026.06,1347,FINAL,Regional index,North Island,Miscellaneous goods and services
CPIQ.SE4A,2026.06,1360,FINAL,Regional index,North Island,All Groups
CPIQ.SE501,2026.06,1365,FINAL,Regional index,Canterbury,Food
CPIQ.SE502,2026.06,1466,FINAL,Regional index,Canterbury,Alcoholic beverages and tobacco
CPIQ.SE503,2026.06,1072,FINAL,Regional index,Canterbury,Clothing and footwear
CPIQ.SE504,2026.06,1404,FINAL,Regional index,Canterbury,Housing and household utilities
CPIQ.SE504101,2026.06,1335,FINAL,Regional index,Canterbury,Actual rentals for housing
CPIQ.SE504201,2026.06,1351,FINAL,Regional index,Canterbury,Purchase of housing
CPIQ.SE505,2026.06,1201,FINAL,Regional index,Canterbury,Household contents and services
CPIQ.SE506,2026.06,1307,FINAL,Regional index,Canterbury,Health
CPIQ.SE507,2026.06,1388,FINAL,Regional index,Canterbury,Transport
CPIQ.SE507202,2026.06,1656,FINAL,Regional index,Canterbury,Petrol
CPIQ.SE509,2026.06,1259,FINAL,Regional index,Canterbury,Recreation and culture
CPIQ.SE511,2026.06,1435,FINAL,Regional index,Canterbury,Miscellaneous goods and services
CPIQ.SE5A,2026.06,1337,FINAL,Regional index,Canterbury,All Groups
CPIQ.SE601,2026.06,1398,FINAL,Regional index,Rest of South Island,Food
CPIQ.SE602,2026.06,1518,FINAL,Regional index,Rest of South Island,Alcoholic beverages and tobacco
CPIQ.SE603,2026.06,1105,FINAL,Regional index,Rest of South Island,Clothing and footwear
CPIQ.SE604,2026.06,1577,FINAL,Regional index,Rest of South Island,Housing and household utilities
CPIQ.SE604101,2026.06,1461,FINAL,Regional index,Rest of South Island,Actual rentals for housing
CPIQ.SE604201,2026.06,1727,FINAL,Regional index,Rest of South Island,Purchase of housing
CPIQ.SE605,2026.06,1176,FINAL,Regional index,Rest of South Island,Household contents and services
CPIQ.SE606,2026.06,1296,FINAL,Regional index,Rest of South Island,Health
CPIQ.SE607,2026.06,1403,FINAL,Regional index,Rest of South Island,Transport
CPIQ.SE607202,2026.06,1671,FINAL,Regional index,Rest of South Island,Petrol
CPIQ.SE609,2026.06,1306,FINAL,Regional index,Rest of South Island,Recreation and culture
CPIQ.SE611,2026.06,1396,FINAL,Regional index,Rest of South Island,Miscellaneous goods and services
CPIQ.SE6A,2026.06,1394,FINAL,Regional index,Rest of South Island,All Groups
CPIQ.SE701,2026.06,1379,FINAL,Regional index,South Island,Food
CPIQ.SE702,2026.06,1490,FINAL,Regional index,South Island,Alcoholic beverages and tobacco
CPIQ.SE703,2026.06,1085,FINAL,Regional index,South Island,Clothing and footwear
CPIQ.SE704,2026.06,1476,FINAL,Regional index,South Island,Housing and household utilities
CPIQ.SE704101,2026.06,1383,FINAL,Regional index,South Island,Actual rentals for housing
CPIQ.SE704201,2026.06,1493,FINAL,Regional index,South Island,Purchase of housing
CPIQ.SE705,2026.06,1189,FINAL,Regional index,South Island,Household contents and services
CPIQ.SE706,2026.06,1302,FINAL,Regional index,South Island,Health
CPIQ.SE707,2026.06,1394,FINAL,Regional index,South Island,Transport
CPIQ.SE707202,2026.06,1659,FINAL,Regional index,South Island,Petrol
CPIQ.SE709,2026.06,1281,FINAL,Regional index,South Island,Recreation and culture
CPIQ.SE711,2026.06,1418,FINAL,Regional index,South Island,Miscellaneous goods and services
CPIQ.SE7A,2026.06,1362,FINAL,Regional index,South Island,All Groups
CPIQ.SE901,2026.06,1379,FINAL,Main CPI,Group,Food
CPIQ.SE9011,2026.06,1208,FINAL,Main CPI,Subgroup,Fruit and vegetables
CPIQ.SE901101,2026.06,1412,FINAL,Main CPI,Class,Fruit
CPIQ.SE901101IPCA,2026.06,0.74,FINAL,Index point contribution annual,Class,Fruit
CPIQ.SE901101IPCP,2026.06,-1.21,FINAL,Index point contribution quarterly,Class,Fruit
CPIQ.SE901101PCCA,2026.06,1.4,FINAL,Percentage contribution annual,Class,Fruit
CPIQ.SE901101PCCP,2026.06,-6.3,FINAL,Percentage contribution quarterly,Class,Fruit
CPIQ.SE901101PPCA,2026.06,0.056,FINAL,Percentage points contribution annual,Class,Fruit
CPIQ.SE901101PPCP,2026.06,-0.088,FINAL,Percentage points contribution quarterly,Class,Fruit
CPIQ.SE901102,2026.06,1085,FINAL,Main CPI,Class,Vegetables
CPIQ.SE901102IPCA,2026.06,-0.12,FINAL,Index point contribution annual,Class,Vegetables
CPIQ.SE901102IPCP,2026.06,0.62,FINAL,Index point contribution quarterly,Class,Vegetables
CPIQ.SE901102PCCA,2026.06,-0.2,FINAL,Percentage contribution annual,Class,Vegetables
CPIQ.SE901102PCCP,2026.06,3.2,FINAL,Percentage contribution quarterly,Class,Vegetables
CPIQ.SE901102PPCA,2026.06,-0.009,FINAL,Percentage points contribution annual,Class,Vegetables
CPIQ.SE901102PPCP,2026.06,0.045,FINAL,Percentage points contribution quarterly,Class,Vegetables
CPIQ.SE9011IPCA,2026.06,0.62,FINAL,Index point contribution annual,Subgroup,Fruit and vegetables
CPIQ.SE9011IPCP,2026.06,-0.59,FINAL,Index point contribution quarterly,Subgroup,Fruit and vegetables
CPIQ.SE9011PCCA,2026.06,1.2,FINAL,Percentage contribution annual,Subgroup,Fruit and vegetables
CPIQ.SE9011PCCP,2026.06,-3.1,FINAL,Percentage contribution quarterly,Subgroup,Fruit and vegetables
CPIQ.SE9011PPCA,2026.06,0.047,FINAL,Percentage points contribution annual,Subgroup,Fruit and vegetables
CPIQ.SE9011PPCP,2026.06,-0.043,FINAL,Percentage points contribution quarterly,Subgroup,Fruit and vegetables
CPIQ.SE9012,2026.06,1416,FINAL,Main CPI,Subgroup,"Meat, poultry and fish"
CPIQ.SE901201,2026.06,1411,FINAL,Main CPI,Class,Meat and poultry
CPIQ.SE9012011,2026.06,1647,FINAL,Main CPI,Section,"Beef and veal (fresh, chilled or frozen)"
CPIQ.SE9012012,2026.06,1242,FINAL,Main CPI,Section,"Pork (fresh, chilled or frozen)"
CPIQ.SE9012013,2026.06,1639,FINAL,Main CPI,Section,"Mutton, lamb and hogget (fresh, chilled or frozen)"
CPIQ.SE9012014,2026.06,1168,FINAL,Main CPI,Section,"Poultry (fresh, chilled or frozen)"
CPIQ.SE9012016,2026.06,1428,FINAL,Main CPI,Section,"Preserved, prepared and processed meat"
CPIQ.SE901201IPCA,2026.06,2.25,FINAL,Index point contribution annual,Class,Meat and poultry
CPIQ.SE901201IPCP,2026.06,0.17,FINAL,Index point contribution quarterly,Class,Meat and poultry
CPIQ.SE901201PCCA,2026.06,4.3,FINAL,Percentage contribution annual,Class,Meat and poultry
CPIQ.SE901201PCCP,2026.06,0.9,FINAL,Percentage contribution quarterly,Class,Meat and poultry
CPIQ.SE901201PPCA,2026.06,0.171,FINAL,Percentage points contribution annual,Class,Meat and poultry
CPIQ.SE901201PPCP,2026.06,0.012,FINAL,Percentage points contribution quarterly,Class,Meat and poultry
CPIQ.SE901202,2026.06,1441,FINAL,Main CPI,Class,Fish and other seafood
CPIQ.SE901202IPCA,2026.06,0.3,FINAL,Index point contribution annual,Class,Fish and other seafood
CPIQ.SE901202IPCP,2026.06,0.09,FINAL,Index point contribution quarterly,Class,Fish and other seafood
CPIQ.SE901202PCCA,2026.06,0.6,FINAL,Percentage contribution annual,Class,Fish and other seafood
CPIQ.SE901202PCCP,2026.06,0.5,FINAL,Percentage contribution quarterly,Class,Fish and other seafood
CPIQ.SE901202PPCA,2026.06,0.023,FINAL,Percentage points contribution annual,Class,Fish and other seafood
CPIQ.SE901202PPCP,2026.06,0.006,FINAL,Percentage points contribution quarterly,Class,Fish and other seafood
CPIQ.SE9012IPCA,2026.06,2.55,FINAL,Index point contribution annual,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012IPCP,2026.06,0.26,FINAL,Index point contribution quarterly,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012PCCA,2026.06,4.9,FINAL,Percentage contribution annual,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012PCCP,2026.06,1.3,FINAL,Percentage contribution quarterly,Subgroup,"Meat, poultry and fish"
CPIQ.SE9012PPCA,2026.06,0.194,FINAL,Percentage points contribution annual,Subgroup,"Meat, poultry and fish"
