"Series_reference","Period","Data_value","STATUS","UNITS","Subject","Group","Series_title_1","Series_title_2"
"CPIQ.SE9S01","2006.06",762.47298472,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2006.09",770.82529561,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2006.12",779.60291644,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2007.03",788.06302631,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2007.06",793.94462933,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2007.09",796.28600365,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2007.12",814.00936458,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2008.03",828.33350413,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2008.06",849.04941704,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2008.09",871.22719635,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2008.12",891.38022894,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2009.03",901.37080757,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2009.06",912.49071957,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2009.09",917.17595868,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2009.12",904.27588103,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2010.03",912.27061616,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2010.06",906.24487981,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2010.09",916.7853283,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2010.12",947.4860524,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2011.03",956.4820178,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2011.06",969.08565957,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2011.09",972.62144962,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2011.12",964.50229247,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2012.03",962.84294541,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2012.06",964.38637002,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2012.09",963.23436571,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2012.12",961.08523672,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2013.03",963.66062833,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2013.06",964.72552654,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2013.09",970.98005543,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2013.12",974.37544107,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2014.03",971.02218428,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
"CPIQ.SE9S01","2014.06",978.91211753,"REVISED","Index","CPI","CPI Level 1 Groups for New Zealand, Seasonally adjusted","Seasonally adjusted","Food"
