Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SGS01G01Z90,2009.06,3872,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2010.06,-3300,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2011.06,-13118,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2012.06,-3361,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2013.06,-303,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2014.06,1658,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2015.06,4886,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2016.06,5769,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2017.06,8174,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2018.06,9597,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2019.06,9984,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2020.06,-13686,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SGS01G01Z90,2021.06,-671,REVISED,"General Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
