Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SLS01G01Z90,2009.06,715,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2010.06,907,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2011.06,350,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2012.06,512,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2013.06,1033,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2014.06,944,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2015.06,1033,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2016.06,1154,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2017.06,1106,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2018.06,1639,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2019.06,1872,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2020.06,1609,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2021.06,2295,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2022.06,2520,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2023.06,2399,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2024.06,2436,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z90,2025.06,2894,PROVISIONAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SLS01G01Z91,2009.06,-1092,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2010.06,-927,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2011.06,-849,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2012.06,-545,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2013.06,-1196,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2014.06,-714,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2015.06,-778,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2016.06,-402,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2017.06,-522,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2018.06,-628,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2019.06,-688,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2020.06,-1335,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2021.06,-1100,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2022.06,-976,FINAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2023.06,-2317,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2024.06,-2478,REVISED,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G01Z91,2025.06,-2734,PROVISIONAL,"Local Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SLS01G02121,2009.06,0,FINAL,"Local Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
