Period,Anzsic,Anzsic_descriptor,Variable2,Units,Data_value,Gas,Variable1
2010.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),323,Carbon dioxide equivalents,Seasonally adjusted
2010.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),323,Carbon dioxide equivalents,Seasonally adjusted
2010.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),320,Carbon dioxide equivalents,Seasonally adjusted
2010.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),310,Carbon dioxide equivalents,Seasonally adjusted
2011.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),312,Carbon dioxide equivalents,Seasonally adjusted
2011.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),299,Carbon dioxide equivalents,Seasonally adjusted
2011.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),298,Carbon dioxide equivalents,Seasonally adjusted
2011.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),289,Carbon dioxide equivalents,Seasonally adjusted
2012.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),284,Carbon dioxide equivalents,Seasonally adjusted
2012.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),280,Carbon dioxide equivalents,Seasonally adjusted
2012.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),277,Carbon dioxide equivalents,Seasonally adjusted
2012.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),273,Carbon dioxide equivalents,Seasonally adjusted
2013.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),292,Carbon dioxide equivalents,Seasonally adjusted
2013.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),287,Carbon dioxide equivalents,Seasonally adjusted
2013.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),271,Carbon dioxide equivalents,Seasonally adjusted
2013.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),277,Carbon dioxide equivalents,Seasonally adjusted
2014.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),251,Carbon dioxide equivalents,Seasonally adjusted
2014.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),265,Carbon dioxide equivalents,Seasonally adjusted
2014.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),248,Carbon dioxide equivalents,Seasonally adjusted
2014.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),255,Carbon dioxide equivalents,Seasonally adjusted
2015.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),243,Carbon dioxide equivalents,Seasonally adjusted
2015.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),229,Carbon dioxide equivalents,Seasonally adjusted
2015.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),253,Carbon dioxide equivalents,Seasonally adjusted
2015.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),233,Carbon dioxide equivalents,Seasonally adjusted
2016.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),229,Carbon dioxide equivalents,Seasonally adjusted
2016.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),212,Carbon dioxide equivalents,Seasonally adjusted
2016.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),208,Carbon dioxide equivalents,Seasonally adjusted
2016.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),202,Carbon dioxide equivalents,Seasonally adjusted
2017.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
