Period,Anzsic,Anzsic_descriptor,Gas,Variable,Units,Data_value,Magnitude
2010.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,201,Carbon dioxide equivalents
2010.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,215,Carbon dioxide equivalents
2010.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,208,Carbon dioxide equivalents
2010.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,198,Carbon dioxide equivalents
2010.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,208,Carbon dioxide equivalents
2010.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,194,Carbon dioxide equivalents
2010.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,213,Carbon dioxide equivalents
2010.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,221,Carbon dioxide equivalents
2011.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,219,Carbon dioxide equivalents
2011.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,235,Carbon dioxide equivalents
2011.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,209,Carbon dioxide equivalents
2011.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,199,Carbon dioxide equivalents
2011.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,211,Carbon dioxide equivalents
2011.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,198,Carbon dioxide equivalents
2011.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,200,Carbon dioxide equivalents
2011.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,208,Carbon dioxide equivalents
2012.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,199,Carbon dioxide equivalents
2012.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,212,Carbon dioxide equivalents
2012.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,207,Carbon dioxide equivalents
2012.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,196,Carbon dioxide equivalents
2012.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,201,Carbon dioxide equivalents
2012.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,190,Carbon dioxide equivalents
2012.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,203,Carbon dioxide equivalents
2012.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,211,Carbon dioxide equivalents
2013.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,218,Carbon dioxide equivalents
2013.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,233,Carbon dioxide equivalents
2013.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,219,Carbon dioxide equivalents
2013.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,207,Carbon dioxide equivalents
2013.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,218,Carbon dioxide equivalents
2013.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,206,Carbon dioxide equivalents
2013.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,226,Carbon dioxide equivalents
2013.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,236,Carbon dioxide equivalents
2014.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,206,Carbon dioxide equivalents
2014.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,220,Carbon dioxide equivalents
2014.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,217,Carbon dioxide equivalents
2014.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,205,Carbon dioxide equivalents
2014.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,200,Carbon dioxide equivalents
2014.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,189,Carbon dioxide equivalents
2014.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,212,Carbon dioxide equivalents
2014.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,221,Carbon dioxide equivalents
2015.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,204,Carbon dioxide equivalents
2015.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,218,Carbon dioxide equivalents
2015.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,190,Carbon dioxide equivalents
2015.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,179,Carbon dioxide equivalents
2015.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,204,Carbon dioxide equivalents
2015.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,194,Carbon dioxide equivalents
2015.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,193,Carbon dioxide equivalents
2015.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,201,Carbon dioxide equivalents
2016.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,195,Carbon dioxide equivalents
2016.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,208,Carbon dioxide equivalents
2016.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,179,Carbon dioxide equivalents
2016.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,169,Carbon dioxide equivalents
2016.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,183,Carbon dioxide equivalents
2016.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Actual,Kilotonnes,173,Carbon dioxide equivalents
2016.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Carbon dioxide equivalents,Seasonally adjusted,Kilotonnes,171,Carbon dioxide equivalents
