year,nzsioc,nzsioc_descriptor,nzsioc_descriptor2,variable,units,magnitude,source,data_value
2007,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1054.06
2007,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1054062.21
2008,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1084.12
2008,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1084115.76
2009,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,911.2
2009,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,911201.32
2010,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,999.07
2010,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,999071.44
2011,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,993.47
2011,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,993471.38
2012,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1076.51
2012,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1076506.32
2013,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1009.33
2013,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1009333.28
2014,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,943.82
2014,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,943824.3
2015,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,988.66
2015,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,988658.78
2016,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,895.66
2016,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,895663.63
2017,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1019.53
2017,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1019525.82
2018,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,986.83
2018,AA111,Horticulture and fruit growing,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,986827.85
